Code_Substance;Code_SMS;Lib_Pref_Fran;Lib_Pref_Anglais;Date_Crea_Substance;Date_Modif_Substance
04730;100000091514;bétaméthasone (dipropionate de);;08/07/1997;15/01/2009
04734;100000091695;benzydamine (chlorhydrate de);;08/07/1997;15/01/2009
04752;100000158519;bétaïne (citrate de) monohydraté;;08/07/1997;26/01/2009
04760;100000127430;monofluorophosphate de sodium;;08/07/1997;08/11/2010
04766;100000092233;benzalkonium (bromure de);;08/07/1997;12/01/2023
04768;100000136458;bleu patenté V sodique;;08/07/1997;15/04/2013
04771;100000092079;benzalkonium (chlorure de);;08/07/1997;24/09/2008
04773;100000092047;oméprazole;;08/07/1997;21/02/2011
04788;100000090512;calcium (gluconolactate de);;08/07/1997;26/01/2009
04802;100000091977;urée;;08/07/1997;23/09/2010
04805;100000092133;cinchocaïne (chlorhydrate de);;08/07/1997;01/10/2008
04813;100000076293;cobalt (gluconate de);;08/07/1997;27/10/2008
04815;NA;codéine (chlorhydrate de);;08/07/1997;16/05/2011
04818;100000092134;clioquinol;;08/07/1997;29/12/2011
04822;100000092338;colistiméthate sodique;;08/07/1997;04/11/2008
04827;100000080113;citral;;08/07/1997;19/03/2013
04834;100000089059;pyrantel (embonate de);;08/07/1997;10/12/2010
04852;100000089635;salicylate d'hydroxyéthyle;;08/07/1997;14/12/2011
04857;100000084794;terbutaline (sulfate de);;08/07/1997;04/12/2012
04862;100000091095;adrénaline (chlorhydrate d');;08/07/1997;09/06/2008
04863;100000076354;éther;;08/07/1997;02/04/2009
04871;100000089620;albumine humaine (solution d') ;;08/07/1997;08/09/2014
04905;100000091403;ferreux (gluconate);;08/07/1997;30/04/2009
04906;100000090136;di(acéfylline) diphénhydramine;;08/07/1997;17/02/2023
04909;100000091889;fluocortolone (pivalate de);;08/07/1997;16/04/2009
04910;100000089110;facteur VIII de coagulation humain ;;08/07/1997;25/06/2012
04913;100000079317;fusidate de sodium;;08/07/1997;30/11/2010
04916;100000090417;flupentixol (dichlorhydrate de);;08/07/1997;17/04/2009
04919;100000091099;glucosamine (chlorhydrate de);;08/07/1997;24/02/2012
04921;NA;glucosamine (sulfate de);;08/07/1997;17/12/2010
04925;NA;gomme de sterculia;;08/07/1997;25/02/1999
04926;100000091585;tobramycine (sulfate de);;08/07/1997;27/11/2009
04951;100000079583;soja (huile de) raffinée;;08/07/1997;03/03/2023
04962;100000091718;heptaminol (chlorhydrate d');;08/07/1997;06/05/2009
04963;100000080187;hexamidine (diisétionate d');;08/07/1997;26/12/2012
04966;100000089203;histamine (dichlorhydrate d');;08/07/1997;07/05/2009
04971;NA;héparine calcique;;08/07/1997;23/11/2011
04979;100000091562;isosorbide (dinitrate d');;08/07/1997;16/09/2010
04982;100000089123;immunoglobuline humaine tétanique ;;08/07/1997;
04999;100000125890;gamma hydroxybutyrique (acide);;08/07/1997;14/02/2023
05002;100000088532;lithium (gluconate de);;08/07/1997;27/10/2011
05007;100000081707;méquitazine;;08/07/1997;13/10/2011
05009;100000092018;sodium (lactate de), solution de;;08/07/1997;17/02/2023
05010;NA;lécithine d'œuf;;08/07/1997;17/02/2023
05031;NA;méthylsilanetriol et de salicylate de sodium (solution de);;08/07/1997;
05032;100000090315;méglumine (antimoniate de);;08/07/1997;28/06/2010
05033;100000090509;benzathine benzylpénicilline;;08/07/1997;24/06/2008
05047;100000090562;lévomépromazine (chlorhydrate de);;08/07/1997;10/11/2011
05067;NA;nickel (gluconate de);;08/07/1997;
05080;100000090269;oxymétazoline (chlorhydrate d');;08/07/1997;11/01/2011
05084;100000141452;or;;08/07/1997;17/02/2023
05085;100000085502;ornithine (oxoglurate d');;08/07/1997;20/08/2009
05087;100000090368;oxycodone (chlorhydrate d');;08/07/1997;10/01/2011
05093;100000091558;bensérazide (chlorhydrate de);;08/07/1997;26/01/2009
05094;100000089671;hydrogénotartrate de potassium;;08/07/1997;30/12/2010
05095;NA;tartrate de potassium neutre;;08/07/1997;30/12/2010
05097;100000090243;lévomépromazine (maléate de);;08/07/1997;14/11/2011
05100;NA;opium (poudre d');;08/07/1997;10/03/2023
05113;100000091361;vincristine (sulfate de);;08/07/1997;17/09/2010
05118;NA;protéase fongique;;08/07/1997;
05119;NA;polyenzyme fongique;;08/07/1997;
05126;100000080775;dodéclonium (bromure de);;08/07/1997;01/07/2008
05131;100000086432;ioxitalamate de sodium;;08/07/1997;30/11/2010
05139;100000078620;quinine (benzoate de);;08/07/1997;13/12/2010
05140;NA;quinine (gluconate de);;08/07/1997;17/02/2023
05209;100000090386;triamcinolone (acétonide de);;08/07/1997;30/09/2010
05210;100000083679;idrocilamide;;08/07/1997;01/12/2011
05216;100000091356;tétracaïne (chlorhydrate de);;08/07/1997;14/10/2010
05229;100000085628;alpha-terpinéol;;08/07/1997;14/10/2010
05230;100000092190;thiamine (nitrate de);;08/07/1997;18/10/2010
05239;NA;virus de la rubéole (souche Wistar RA 27/3) (vivant, atténué) ;;08/07/1997;26/07/2006
05241;100000087090;sulbutiamine;;08/07/1997;02/11/2010
05242;100000090474;vérapamil (chlorhydrate de);;08/07/1997;27/09/2010
05246;100000089515;zinc (gluconate de);;08/07/1997;20/09/2010
05248;100000091596;amoxicilline;;08/07/1997;26/01/2009
05249;100000092011;dopamine (chlorhydrate de);;08/07/1997;05/03/2009
05270;NA;ginkgo (extrait sec raffiné et quantifié de);;08/07/1997;19/02/2023
05272;100000092521;thiomersal;;08/07/1997;18/10/2010
05284;100000091069;déqualinium (chlorure de);;08/07/1997;24/09/2008
05285;100000077619;hydroquinidine (chlorhydrate d');;08/07/1997;13/12/2011
05290;100000090553;chlorméthine (chlorhydrate de);;08/07/1997;20/01/2023
05291;100000135033;désoxyribonucléase;;08/07/1997;
05296;NA;inosine monophosphate disodique dihydraté;;08/07/1997;07/12/2011
05324;100000078877;propanol;;08/07/1997;09/12/2010
05331;100000091609;benzylpénicilline sodique;;08/07/1997;26/01/2009
05333;100000091355;prométhazine (chlorhydrate de);;08/07/1997;09/12/2010
05334;100000090573;clomifène (citrate de);;08/07/1997;23/10/2008
05348;100000091100;cuivre;;08/07/1997;19/02/2023
05356;100000090123;alginate de sodium;;08/07/1997;26/01/2009
05358;100000085509;oxybuprocaïne (chlorhydrate d');;08/07/1997;10/01/2011
05363;100000091750;sélénium;;08/07/1997;19/02/2023
05367;100000144355;pralidoxime (métilsulfate de);;08/07/1997;14/12/2010
05376;100000089469;docétaxel trihydraté;;08/07/1997;02/06/2009
05378;100000081628;carbachol;;08/07/1997;28/04/2011
05386;100000092847;amiodarone (chlorhydrate d');;08/07/1997;26/01/2009
05390;100000090280;folinate de calcium;;08/07/1997;20/04/2009
05392;100000076567;calcium (glycérophosphate de);;08/07/1997;26/01/2009
05394;100000090485;pantothénate de calcium;;08/07/1997;18/01/2011
05407;100000090133;méthylphénidate (chlorhydrate de);;08/07/1997;11/10/2011
05414;NA;lierre grimpant (extrait sec de);;08/07/1997;13/02/2023
05431;100000091713;lidocaïne;;08/07/1997;14/11/2011
05432;100000090563;lidocaïne (chlorhydrate de) monohydraté;;08/07/1997;15/02/2022
05434;100000092371;ichtammol;;08/07/1997;15/12/2011
05440;100000088550;magnésium (glycérophosphate de);;08/07/1997;
05452;100000088807;méthyle (nicotinate de);;08/07/1997;11/10/2011
05453;100000084885;salicylate de méthyle;;08/07/1997;11/10/2011
05455;NA;méglumine (ioxitalamate de);;08/07/1997;13/10/2011
05465;100000092114;oxacilline sodique monohydratée;;08/07/1997;13/04/2022
05477;100000091317;testostérone (énantate de);;08/07/1997;14/10/2010
05480;100000077491;triamcinolone (hexacétonide de);;08/07/1997;30/09/2010
05481;100000084667;trimipramine (maléate de);;08/07/1997;04/10/2010
05493;100000086039;tuaminoheptane (sulfate de);;08/07/1997;03/09/2010
05506;100000080236;énoxolone;;08/07/1997;16/03/2009
05520;100000085046;amyléine (chlorhydrate d');;08/07/1997;19/02/2023
05525;100000083461;dapsone;;08/07/1997;28/11/2008
05534;100000086673;goséréline (acétate de);;08/07/1997;17/04/2013
05541;100000092183;méclozine (chlorhydrate de);;08/07/1997;19/10/2011
05546;100000082511;pentétique (acide);;08/07/1997;17/09/2010
05551;100000092158;scopolamine (bromhydrate de);;08/07/1997;02/12/2010
05557;100000079321;salicylate de sodium;;08/07/1997;03/03/2023
05558;100000087396;tétradécyl sulfate de sodium;;08/07/1997;14/10/2010
05562;100000091448;valproate de sodium;;08/07/1997;09/11/2010
05569;NA;pantothénate de sodium;;08/07/1997;13/02/2023
05580;100000088780;imidurée;;08/07/1997;11/06/2010
05596;100000089973;liothyronine sodique;;08/07/1997;15/11/2011
05618;100000079398;potassium (glycérophosphate de);;08/07/1997;30/12/2010
05621;100000092081;roxithromycine;;08/07/1997;01/12/2010
05627;100000081656;primidone;;08/07/1997;16/12/2010
05633;100000090076;hyaluronate de sodium;;08/07/1997;30/11/2010
05641;NA;soja (huile de), insaponifiable d';;08/07/1997;19/02/2023
05642;NA;avocat (huile d'), insaponifiable d';;08/07/1997;
05647;100000126290;genièvre;;08/07/1997;28/10/2003
05715;100000089739;anatoxine diphtérique ;;08/07/1997;
05717;100000089740;anatoxine tétanique ;;08/07/1997;
05718;NA;immunoglobuline humaine normale (plasmatique);;08/07/1997;19/02/2023
05751;100000081665;piribédil;;08/07/1997;27/12/2010
05760;100000088201;cyamémazine (tartrate de);;08/07/1997;23/05/2011
05762;100000085662;alimémazine (hémitartrate d');;08/07/1997;03/01/2023
05765;100000091110;tiapride (chlorhydrate de);;08/07/1997;20/10/2010
05767;100000092315;imipramine (chlorhydrate d');;08/07/1997;02/12/2011
05791;NA;bryone (teinture de);;08/07/1997;
05865;100000092564;carboplatine;;08/07/1997;30/07/2008
05922;100000085240;alfentanil;;08/07/1997;27/01/2009
05966;100000134068;hydroxycitronellal;;08/07/1997;27/12/2012
05988;100000077408;apraclonidine (chlorhydrate d');;08/07/1997;27/01/2009
06018;100000092640;cétrimide;;08/07/1997;18/09/2008
06088;100000089811;isotrétinoïne;;08/07/1997;30/11/2011
06092;100000092094;flutamide;;08/07/1997;17/04/2009
06166;100000090424;alfentanil (chlorhydrate d');;08/07/1997;27/01/2009
06197;100000092206;triptoréline;;08/07/1997;05/10/2010
06201;NA;éosine disodique;;08/07/1997;17/03/2009
06206;100000086756;macrogol 4000;;08/07/1997;10/11/2011
06209;100000092603;sulprostone;;08/07/1997;12/10/2012
06247;100000089284;trioxyde d'arsenic;;08/07/1997;07/03/2023
06249;NA;sodium (iodure [123 I] de) (solution de);;08/07/1997;19/02/2023
06254;100000080704;flumazénil;;08/07/1997;15/04/2009
06292;100000080464;fotémustine;;08/07/1997;22/04/2009
06352;100000077210;tioconazole;;08/07/1997;08/10/2010
06375;100000079776;pentamidine (diisétionate de);;08/07/1997;07/01/2011
06379;100000090395;sodium (polystyrène sulfonate de);;08/07/1997;27/12/2019
06431;100000092179;loratadine;;08/07/1997;09/11/2011
06492;100000085206;atracurium (bésilate d');;08/07/1997;27/01/2009
06494;100000091587;octréotide (acétate d');;08/07/1997;28/06/2011
06776;100000090462;hydromorphone;;08/07/1997;
06783;NA;glucophosphate disodique tétrahydraté;;08/07/1997;30/04/2009
06818;NA;passiflore (extrait de) (sec);;08/07/1997;16/12/2019
06825;100000092377;mupirocine;;08/07/1997;20/09/2011
06941;100000085821;zuclopenthixol (décanoate de);;08/07/1997;16/09/2010
06987;100000078009;dihydrocodéine (hydrogénotartrate de);;08/07/1997;23/03/2009
07032;100000091386;méthylprednisolone (hydrogénosuccinate de);;08/07/1997;03/10/2011
07055;100000092800;doxycycline monohydratée;;08/07/1997;15/02/2013
07238;100000092418;misoprostol;;08/07/1997;29/07/2009
07239;100000090102;lactitol monohydraté;;08/07/1997;16/11/2011
07277;100000088225;leuproréline;;08/07/1997;27/01/2012
07289;100000084826;ciclétanine (chlorhydrate de);;08/07/1997;29/09/2008
07301;100000128116;lysine monohydratée;;08/07/1997;10/11/2011
07326;100000079033;triglycérides à chaîne moyenne;;08/07/1997;01/10/2010
07436;100000092741;bisoprolol (fumarate de);;08/07/1997;30/06/2008
07529;100000075992;hydrogène (peroxyde d'), solution de, à 30 pour cent;;08/07/1997;12/05/2009
07542;NA;virus poliomyélitique souche MEF-1 de type 2 inactivé ;;08/07/1997;19/02/2023
07560;100000091555;fluoxétine (chlorhydrate de);;08/07/1997;16/04/2009
07572;100000078328;phosphate monosodique monohydraté;;08/07/1997;20/01/2016
07587;100000081443;méglumine;;08/07/1997;20/02/2013
07603;100000091539;propofol;;08/07/1997;09/12/2010
07645;NA;magnésium (hydrogénophosphate de) trihydraté;;08/07/1997;19/02/2023
07728;100000128586;magnésium (sulfate de) trihydraté;;08/07/1997;19/10/2011
07787;100000080666;miristalkonium (chlorure de);;08/07/1997;25/09/2008
07833;100000078537;polysorbate 20;;08/07/1997;28/12/2010
07958;100000093037;céliprolol (chlorhydrate de);;08/07/1997;25/08/2008
08011;100000090209;carmustine;;08/07/1997;30/07/2008
08112;100000092790;calcitriol;;08/07/1997;27/01/2009
08137;100000088298;zuclopenthixol (acétate de);;08/07/1997;22/09/2010
08152;100000090324;lévocarnitine;;08/07/1997;25/10/2019
08173;100000085427;époétine alfa ;;08/07/1997;15/01/2023
08190;NA;chrome (chlorure de) hexahydraté;;08/07/1997;17/12/2014
08215;100000088297;tianeptine sodique;;08/07/1997;28/08/2012
08237;100000092348;gestodène;;08/07/1997;28/04/2009
08327;100000090027;sulbactam sodique;;08/07/1997;02/11/2010
08351;100000090152;énoxaparine sodique ;;08/07/1997;15/01/2023
08365;100000140307;graphite;;08/07/1997;19/02/2023
08476;100000089399;ganciclovir sodique;;08/07/1997;06/10/2011
08477;100000078458;argent;;08/07/1997;28/06/2012
08554;NA;pertechnétate [99m Tc] de sodium;;08/07/1997;19/02/2023
08578;100000084604;acitrétine;;08/07/1997;27/01/2009
08610;100000092566;étodolac;;08/07/1997;11/07/2013
08613;100000076368;lactate de calcium pentahydraté;;08/07/1997;21/07/2008
08736;100000090468;quinapril (chlorhydrate de);;08/07/1997;25/06/2010
08744;100000085608;urapidil (chlorhydrate d');;08/07/1997;15/09/2010
08751;100000082679;ténoxicam;;08/07/1997;25/10/2010
08846;100000083726;cyamémazine;;08/07/1997;19/11/2008
08873;100000092296;pentétate de calcium trisodique;;08/07/1997;03/05/2006
08974;NA;iodure [131 I] de sodium (solution de);;08/07/1997;07/03/2023
09122;100000088002;zidovudine;;08/07/1997;20/09/2010
09129;100000090185;cilastatine sodique;;08/07/1997;10/11/2010
09182;100000085645;zuclopenthixol (dichlorhydrate de);;08/07/1997;06/08/2010
09231;100000087234;amisulpride;;08/07/1997;27/01/2009
09301;100000089988;doxazosine (mésilate de);;08/07/1997;06/03/2009
09414;100000078034;diosmectite;;08/07/1997;25/03/2009
09586;100000091602;périndopril tert-butylamine;;08/07/1997;07/01/2011
09665;100000084215;hydrocortisone (acéponate d');;08/07/1997;12/12/2011
09692;100000090180;antigène  de surface de l'hépatite B recombinant  ;;08/07/1997;22/03/2023
09706;100000092620;calcium (chlorure de) hexahydraté;;08/07/1997;07/07/2008
09725;100000138055;Leptospira icterohaemorrhagiae, inactivé;;08/07/1997;19/02/2023
09745;100000083594;noradrénaline;;08/07/1997;10/03/2023
09798;100000080389;morniflumate;;08/07/1997;19/09/2011
09801;100000082107;étomidate;;08/07/1997;06/04/2009
09967;100000085403;téicoplanine;;08/07/1997;22/10/2010
10091;100000091368;métoprolol (succinate de);;08/07/1997;03/10/2011
10109;NA;manganèse (gluconate de) dihydraté;;08/07/1997;
10157;100000090471;vancomycine (chlorhydrate de);;08/07/1997;27/09/2010
10171;100000091786;simvastatine;;08/07/1997;18/11/2010
10235;100000083504;streptozocine;;08/07/1997;25/10/2010
10321;100000085031;atropine;;08/07/1997;20/01/2011
10394;100000089833;siméticone;;08/07/1997;18/11/2010
10471;100000087271;esmolol (chlorhydrate d');;08/07/1997;31/03/2009
10562;100000076482;nédocromil sodique;;08/07/1997;17/02/2023
10600;100000076812;malathion;;08/07/1997;
10627;100000087146;didanosine;;08/07/1997;16/12/2008
10655;100000091624;métoclopramide;;08/07/1997;03/10/2011
10740;100000091726;sodium (sélénite de) pentahydraté;;08/07/1997;13/01/2021
10791;100000077559;terpinol;;08/07/1997;
10803;100000085894;bézafibrate;;08/07/1997;27/01/2009
10876;100000089135;sodium (oxybate de);;08/07/1997;08/11/2010
10966;100000088889;polyfructosan;;08/07/1997;25/11/2015
11144;100000092239;éconazole;;08/07/1997;12/08/2011
11164;100000134261;isoeugénol;;08/07/1997;27/12/2012
11279;100000092657;fluconazole;;08/07/1997;10/04/2009
11396;100000089938;naltrexone (chlorhydrate de);;08/07/1997;19/08/2011
11401;100000092169;oxybutynine (chlorhydrate d');;08/07/1997;10/01/2011
11448;100000090314;carbidopa monohydratée;;08/07/1997;29/07/2008
11456;100000076592;polystyrène sulfonate de calcium;;08/07/1997;21/07/2008
11506;300000033067;DL-tryptophane;;08/07/1997;15/09/2010
11532;100000092240;ramipril;;08/07/1997;06/12/2010
11572;100000134262;alpha-amylcinnamaldéhyde;;08/07/1997;10/12/2012
11583;100000134278;thirame;;08/07/1997;10/01/2013
11626;100000080629;mifépristone;;08/07/1997;05/10/2011
11650;100000081540;ciprofibrate;;08/07/1997;02/10/2008
11673;100000076662;urapidil;;08/07/1997;15/09/2010
11760;100000090394;nordazépam;;08/07/1997;27/06/2011
11789;100000091651;isoflurane;;08/07/1997;28/11/2011
11935;100000076935;trifluridine;;08/07/1997;01/10/2010
12155;100000086553;phosphate dipotassique;;08/07/1997;11/02/1999
12225;100000080907;méthylphénidate;;08/07/1997;26/02/2013
12345;100000084084;secnidazole;;08/07/1997;03/12/2010
12351;100000088698;bronopol;;08/07/1997;09/02/2010
12566;100000092267;paraffine liquide légère;;08/07/1997;20/11/1998
12662;100000076102;phosphate disodique;;08/07/1997;10/02/2023
12855;100000092256;naproxène sodique;;08/07/1997;26/08/2011
12870;100000092562;ébastine;;08/07/1997;11/03/2009
12999;100000092519;zopiclone;;08/07/1997;22/09/2010
13013;100000085642;calcipotriol;;08/07/1997;27/01/2009
13112;100000091908;alprazolam;;08/07/1997;27/01/2009
13274;100000081420;praziquantel;;08/07/1997;14/12/2010
13363;100000143736;Cl+Me-isothiazolinone;;08/07/1997;19/02/2023
13556;100000091534;pancréatine ;;08/07/1997;18/12/2003
13577;NA;stanneux (chlorure) dihydraté;;08/07/1997;08/09/2014
13582;NA;desmopressine (acétate de) trihydraté;;08/07/1997;03/12/2008
13647;100000076667;acétique glacial (acide);;08/07/1997;07/03/2023
13709;100000089967;nicardipine (chlorhydrate de);;08/07/1997;29/06/2011
13835;100000084036;cloxacilline;;08/07/1997;27/10/2008
13911;NA;sodium (gluconate de);;08/07/1997;06/01/2012
13942;100000085256;torémifène (citrate de);;08/07/1997;12/10/2010
14049;100000089958;bénazépril (chlorhydrate de);;08/07/1997;11/01/2023
14134;100000092043;phosphate monosodique dihydraté;;08/07/1997;03/01/2011
14159;NA;indium [111 In] (chlorure d');;08/07/1997;19/02/2023
14251;100000090456;néomycine;;08/07/1997;06/04/2012
14306;100000085250;quinisocaïne (chlorhydrate de);;08/07/1997;14/12/2010
14446;100000091860;mométasone (furoate de);;08/07/1997;27/08/2012
14672;100000091963;lactulose liquide;;08/07/1997;03/06/2009
14743;100000133829;oxyquinol;;08/07/1997;11/01/2011
14832;NA;pyrophosphate de sodium décahydraté;;08/07/1997;29/10/2010
14967;NA;céto DL isoleucine calcique;;08/07/1997;19/02/2023
15009;100000089192;timolol;;27/11/2001;14/12/2011
15078;100000091484;théophylline;;08/07/1997;18/10/2010
15244;100000078741;bleu de Prusse insoluble;;17/06/2014;17/06/2014
15258;NA;petit houx (extrait sec de);;28/06/2002;13/02/2023
15304;100000091915;lisinopril;;29/04/2002;26/01/2012
15369;100000126117;pomalidomide;;01/08/2012;28/12/2012
15372;100000091076;norfloxacine;;08/07/1997;27/06/2011
15401;100000092111;ketotifène;;03/12/2001;17/02/2012
15487;NA;ticarcilline;;12/05/2003;17/02/2023
15562;100000077527;sumatriptan (succinate de);;08/07/1997;20/10/2010
15612;100000092300;gadobutrol;;05/06/2000;29/11/2006
15614;NA;protéines plasmatiques humaines ;;01/04/2016;01/04/2016
15646;100000128380;tédizolid (phosphate de);;12/02/2015;
15686;100000091372;morphine;;08/07/1997;
15711;100000089166;ribavirine;;08/07/1997;07/12/2010
15734;100000088000;valsartan;;25/05/1999;21/11/2022
15911;100000092561;cibenzoline;;08/07/1997;29/09/2008
15954;NA;indinavir;;21/11/2002;17/02/2023
15988;100000090265;insuline humaine recombinante ;;27/04/1999;27/04/1999
16046;100000089028;immunoglobuline humaine anti-D ;;15/10/1999;
16156;NA;rhapontic (racine de);;08/07/1997;19/02/2023
16272;100000177603;selpercatinib;;26/03/2021;17/02/2023
16279;100000085469;nélarabine;;01/10/2007;28/06/2011
16296;100000092187;olopatadine (chlorhydrate d');;22/07/2002;18/02/2011
16307;NA;[18F]PSMA-1007;;24/12/2021;24/12/2021
16367;100000168547;acalabrutinib;;23/10/2020;23/10/2020
16458;100000088880;alizapride (chlorhydrate d');;08/07/1997;27/01/2009
16464;100000173468;isatuximab ;;03/07/2020;03/07/2020
16484;100000090586;hormone folliculo stimulante ;;04/10/2011;04/10/2011
16496;100000080269;rocuronium (bromure de);;08/07/1997;27/01/2009
16541;NA;complexe sodique sacubitril valsartan hémipentahydraté;;22/12/2015;
16591;100000145087;nivolumab ;;12/05/2015;12/06/2015
16621;100000080735;fluorodopa [18F];;23/11/2006;18/06/2010
16648;100000091704;golimumab ;;19/01/2010;19/01/2010
16661;100000089667;chlorhydrate d'articaïne;;08/07/1997;21/02/2013
16670;100000125922;ramucirumab ;;20/11/2014;20/11/2014
16715;300000022271;sotrovimab ;;16/12/2021;16/12/2021
16736;100000091683;tolvaptan;;07/01/2010;08/01/2010
16749;NA;albumine humaine sérique (solution d');;08/07/1997;19/02/2023
16849;100000092663;gabapentine;;08/07/1997;24/04/2009
16860;100000091347;époétine bêta ;;08/07/1997;15/01/2023
16948;100000091914;amsacrine;;08/07/1997;
16951;100000131708;ondansétron (chlorhydrate d') dihydraté;;08/07/1997;21/02/2011
17000;NA;milieu de culture;;08/07/1997;16/09/1998
17055;100000162511;durvalumab ;;26/11/2018;26/11/2018
17061;100000081829;cefpodoxime;;14/11/2002;
17091;NA;virus de l'hépatite A souche HM175 inactivé adsorbé ;;08/07/1997;19/02/2023
17098;100000089234;tériflunomide;;16/01/2013;12/03/2013
17150;100000090443;glucose monohydraté;;08/07/1997;23/11/2009
17191;100000076369;lévofolinate calcique pentahydraté;;26/04/2004;10/11/2011
17194;100000090431;bupropione (chlorhydrate de);;05/06/2000;12/06/2015
17256;100000085266;éfavirenz;;23/10/1998;12/03/2009
17270;100000089599;alendronate monosodique monohydraté;;29/11/2004;19/11/2010
17283;100000177684;élexacaftor;;12/08/2020;12/08/2020
17295;100000092013;aldesleukine ;;08/07/1997;24/03/2023
17339;100000126178;oméga-3 (esters éthyliques 90 d'acides) ;;29/01/2013;04/02/2013
17345;100000086585;hydrocortisone (hydrogénosuccinate d');;15/02/1999;07/03/2023
17407;100000087252;ésoméprazole;;27/11/2001;19/03/2014
17443;NA;inébilizumab ;;11/01/2022;11/01/2022
17445;100000091420;nilotinib (chlorhydrate de) monohydraté;;21/11/2006;13/03/2013
17477;100000090377;fentanyl;;08/07/1997;08/04/2009
17561;100000080862;prucalopride;;02/07/2008;02/07/2008
17563;100000091567;glatiramère (acétate de);;28/02/2002;29/04/2009
17590;300000031318;flurbiprofène sodique dihydraté;;08/07/1997;17/04/2009
17637;100000085878;bicalutamide;;08/07/1997;27/01/2009
17723;100000085471;olanzapine;;25/08/1999;24/02/2012
17760;100000091440;orlistat;;15/11/1999;21/02/2011
17878;100000085444;lamivudine;;25/08/1999;16/11/2011
17883;100000152159;naloxégol (oxalate de);;20/11/2014;
17905;NA;sapin de Sibérie dit pin de Sibérie (aiguilles de) (huile essentielle d');;27/09/1999;29/04/2013
18012;NA;fluorure (18F) de sodium;;16/11/2007;16/11/2007
18025;100000092872;icatibant (acétate d');;25/02/2009;15/12/2009
18055;100000164881;métoclopramide (chlorhydrate de) anhydre;;03/05/2002;18/04/2013
18063;NA;méthylergométrine;;05/09/2002;17/02/2023
18084;100000181872;maralixibat (chlorure de);;22/09/2021;22/09/2021
18180;NA;polyoside de Streptococcus pneumoniae sérotype 19F conjugué à la protéine vectrice CRM197;;10/05/2006;24/03/2023
18244;100000160532;rosuvastatine zincique;;06/03/2013;07/03/2013
18254;100000080329;modafinil;;08/07/1997;08/09/2011
18265;100000091610;paroxétine (chlorhydrate de) hémihydraté;;08/07/1997;18/01/2011
18310;NA;picloxydine;;26/09/2002;
18343;100000079562;sorbitol liquide (cristallisable);;08/07/1997;12/11/2010
18380;100000092053;cartéolol (chlorhydrate de);;08/07/1997;30/07/2008
18408;100000090134;mépivacaïne (chlorhydrate de);;08/07/1997;13/10/2011
18411;100000158419;efmoroctocog alfa ;;19/11/2015;
18426;100000127941;névirapine hémihydratée;;23/10/1998;29/06/2011
18454;NA;cétrorélix;;03/12/2001;17/02/2023
18516;NA;cuivre (gluconate de) dihydraté;;08/07/1997;18/11/2008
18747;100000082867;kétamine;;06/11/2003;25/04/2013
18812;100000077109;lévobunolol (chlorhydrate de);;08/07/1997;21/11/2011
18827;100000089155;pramipexole (dichlorhydrate de) monohydraté;;15/11/1999;14/12/2010
18842;100000089633;glucagon;;05/12/2019;05/12/2019
18851;100000090260;mitoxantrone (chlorhydrate de);;08/07/1997;07/09/2011
18864;100000089157;ziconotide (acétate de);;22/07/2004;02/09/2004
18867;100000092375;drospirénone;;30/06/2000;11/03/2009
19022;100000085575;phosphate monosodique anhydre;;08/07/1997;03/01/2011
19034;100000090763;mépolizumab ;;18/11/2015;
19039;100000158129;ceftolozane (sulfate de);;31/08/2015;
19075;NA;Streptococcus pneumoniae sérotype 23F (polyosides de);;07/04/2000;22/03/2023
19091;NA;ceftriaxone sodique anhydre;;14/09/2007;14/09/2007
19141;NA;virus de la rage inactivé, souche Flury LEP ;;05/05/2004;08/11/2012
19236;100000090900;paraffine liquide;;08/07/1997;18/01/2011
19311;100000176632;monophosphothiamine dihydratée;;23/02/1999;17/02/2023
19402;NA;protéine L1 recombinante adsorbée du virus humain Papillomavirus HPV type 45 ;;02/04/2015;
19414;100000092638;doxycycline (hyclate de);;08/07/1997;09/03/2009
19437;100000089964;pipéracilline sodique;;08/07/1997;05/01/2011
19476;100000092381;povidone;;08/07/1997;30/12/2010
19481;100000090117;mégestrol (acétate de);;08/07/1997;12/10/2011
19482;NA;virus de la grippe fragmenté, inactivé, souche B/Austria/1359417/2021 - souche analogue (B/Austria/1359417/2021, BVR-26) ;;29/09/2022;19/02/2023
19483;100000163588;tucatinib;;29/01/2020;29/01/2020
19508;NA;sodium (glycérophosphate de) hydraté;;21/06/2011;10/03/2023
19514;100000075991;hydrogène (peroxyde d'), solution de, à 3 pour cent;;08/07/1997;11/05/2009
19558;100000080813;doxépine;;14/11/2002;
19576;100000087131;hypromellose;;08/07/1997;15/12/2011
19651;NA;niraparib (tosilate de) monohydraté;;24/11/2017;24/11/2017
19692;NA;oligoside de Neisseria meningitidis du groupe A conjugué à la protéine CRM197 de Corynebacterium diphteriae;;02/09/2010;02/09/2010
19698;100000092752;mycophénolate mofétil;;08/07/1997;05/07/2011
19713;NA;upadacitinib hémihydraté;;23/12/2019;23/12/2019
19743;NA;protéine L1 recombinante adsorbée du virus humain Papillomavirus HPV type 6 ;;05/04/2006;19/02/2023
19745;100000091096;fenticonazole (nitrate de);;08/07/1997;08/04/2009
19755;100000090154;dasatinib monohydraté;;08/12/2006;01/12/2008
